Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,15 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,KENSCOFF,OUEST,2015,ALFREDO JUNIOR ANTOINE,KID,"2,841",35.6,"6,336",63.1,,
LEGISLATIVE ELECTION,,OUEST,2015,Andre Gustave Louis,PHTK,"1,674",21,"3,575",35.6,,
LEGISLATIVE ELECTION,,OUEST,2015,Lesly Fanfan,Verite,918,11.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jose Joseph,OPL,862,10.8,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Wilner Joseph,Greh,835,10.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,7 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,LEOGANE,OUEST,2015,JEAN WILSON HIPPOLITE,PHTK,"9,214",48.8,"17,107",56.7,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Baptiste Dumont,RPH,"5,248",27.8,"12,749",42.2,,
LEGISLATIVE ELECTION,,OUEST,2015,Guston Jean Louis,Fanmi L,"3,085",16.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,4 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,PETION-VILLE,OUEST,2015,JERRY TARDIEU,Verite,"6,247",30.9,"30,633",70.5,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Israel PhinÃ©us,Fanmi L,"1,689",8.3,"11,039",25.4,,
LEGISLATIVE ELECTION,,OUEST,2015,28 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,PETIT-GOAVE,OUEST,2015,Germain Fils Alexandre,Verite,"8,359",38.6,"18,012",64.9,,
LEGISLATIVE ELECTION,,OUEST,2015,Stevenson Thimoleon,PHTK,"5,700",26.4,"9,551",34.4,,
LEGISLATIVE ELECTION,,OUEST,2015,Kebreau Zamor,OPL,"3,239",15,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Martial Beneche,Konfyans,"2,172",10,,,,
LEGISLATIVE ELECTION,,OUEST,2015,9 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,POINTE A RAQUETTE,OUEST,2015,JACKIE GUERRIER,Inite Patr,"2,611",49,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Bosener Joseph,Verite,721,13.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Feed Saint-Victor,OPL,667,12.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jones Lagrandeur,Fusion,625,11.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Amos Toussaint,LAPEH,286,5.4,,,,
LEGISLATIVE ELECTION,,OUEST,2015,4 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),OUEST,2015,Roger Millien,Fanmi L,"2,316",11,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Patrick Severin,Inite Patr,"1,767",8.4,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Lucsonne Janvier,Bouclier,"1,447",6.9,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Pierre Vvisthlet Cesar,PHTK,"1,366",6.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Johnson Joseph,KID,"1,156",5.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Rony Timothee,Pitit Dess,"1,115",5.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Job Glorius,Renmen Ayiti,"1,077",5.1,,,,
LEGISLATIVE ELECTION,,OUEST,2015,22 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (2EME),OUEST,2015,Jean Rene Lochard,PHTK,"2,338",23.5,"12,774",49,,
LEGISLATIVE ELECTION,,OUEST,2015,Ronald Romain,Verite,"1,716",17.3,"11,705",44.9,,
LEGISLATIVE ELECTION,,OUEST,2015,Mario Beauvoir,Pont,758,7.6,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Fritznel Benoit,Fanmi L,677,6.8,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Adelcie Juste,Renmen Ayiti,531,5.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,James Jacques,Konviksyon,531,5.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,20 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (3EME),OUEST,2015,BELIZAIRE PRINTEMPS,Fanmi L,"1,397",7.9,"15,656",48.7,,
LEGISLATIVE ELECTION,,OUEST,2015,Nesly Antoine,Bouclier,"1,246",7,"14,522",45.1,,
LEGISLATIVE ELECTION,,OUEST,2015,Felder Theolin,Konviksyon,"1,014",5.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Paul Syril Barolette,Kona,905,5.1,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Wilner Joseph,Verite,896,5.1,,,,
LEGISLATIVE ELECTION,,OUEST,2015,45 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,TABARRE,OUEST,2015,CALEB J DESRAMEAUX,Verite,"1,589",21.2,"11,187",60.9,,
LEGISLATIVE ELECTION,,OUEST,2015,Maxene Estime,MNC,828,11,"6,568",35.7,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Ramfils Guillaume,PDCH,761,10.1,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Yves Pierre-Louis,Fanmi L,669,8.9,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Harycidas Auguste,LAPEH,651,8.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Renaud Chevalier,Randevous,552,7.4,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Claude Fleurissaint,Platfòm P,470,6.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,11 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,THOMAZEAU,OUEST,2015,PRICE CYPRIEN,PHTK,"1,998",27.7,"5,683",67.3,,
LEGISLATIVE ELECTION,,OUEST,2015,Rosvel Noelus Fenelus,Fanmi L,"1,175",16.3,"2,717",32.2,,
LEGISLATIVE ELECTION,,OUEST,2015,Alix Joseph,Konfyans,819,11.4,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Cheker Romain,Inite Patr,552,7.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Josmar Jean,Consortium,382,5.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,14 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,AQUIN,SUD,2015,JEAN-ROBERT BOSSE,OPL,2282,19.5,"6,329",51.6,,
LEGISLATIVE ELECTION,,SUD,2015,Antoine Andre,Verite,"2,118",18.1,"5,891",48,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Robert Edouard,Bouclier,"1,399",11.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Garry Mathurin,PHTK,"1,324",11.3,,,,
LEGISLATIVE ELECTION,,SUD,2015,Mauril Pompe,KID,"1,038",8.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,Marie-Danielle Comeau,Kontrapepla,"1,019",8.7,,,,
LEGISLATIVE ELECTION,,SUD,2015,Onel Fevry,LAPEH,664,5.7,,,,
LEGISLATIVE ELECTION,,SUD,2015,Fritz Gerald Laude,UNCRH,621,5.3,,,,
LEGISLATIVE ELECTION,,SUD,2015,Wadlin Noradin,Respe,609,5.2,,,,
LEGISLATIVE ELECTION,,SUD,2015,5 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,CAMP-PERRIN-MANICHE,SUD,2015,BERTIN AUGUSTIN,Verite,"2,295",18.9,"8,308",55,,
LEGISLATIVE ELECTION,,SUD,2015,Ogline Pierre,PHTK,"2,173",17.9,"6,659",44.1,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Wilfrid Lovince,Bouclier,"2,044",16.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,Kenold Calvaire,Fanmi L,"1,853",15.3,,,,
LEGISLATIVE ELECTION,,SUD,2015,Lenonce Constant,PRHA,"1,144",9.4,,,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Dunes Gustave,Veye Yo,801,6.6,,,,
LEGISLATIVE ELECTION,,SUD,2015,Robert Thomas,PPG18,610,5,,,,
LEGISLATIVE ELECTION,,SUD,2015,5 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,CAVAILLON,SUD,2015,Wuinchel Olivier,LAPEH,"1,971","4,830",,,,
LEGISLATIVE ELECTION,,SUD,2015,DELINOIS DELIA,Verite,"1,695","5,257",,,,
LEGISLATIVE ELECTION,,SUD,2015,Sabine Renaude Martelly,PHTK,"1,151",,,,,
LEGISLATIVE ELECTION,,SUD,2015,Fanese Cima Jocelyn,Platfòm P,683,,,,,
LEGISLATIVE ELECTION,,SUD,2015,Guito Edouard,Fanmi L,499,,,,,
LEGISLATIVE ELECTION,,SUD,2015,11 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,CHARDONNIERES-LES ANGLAIS,SUD,2015,Jean Romelus Lisma,Verite,"2,375",23.2,"5,535",43.5,,
LEGISLATIVE ELECTION,,SUD,2015,JEAN GALVY CHARLES,PHTK,"2,253",22,"7,118",56,,
LEGISLATIVE ELECTION,,SUD,2015,Marcelin Aubourg,Inite Patr,"1,410",13.8,,,,
LEGISLATIVE ELECTION,,SUD,2015,Rosewald Michel,Renmen Ayiti,992,9.7,,,,
LEGISLATIVE ELECTION,,SUD,2015,Alix Denis Hibart,Pont,974,9.5,,,,
LEGISLATIVE ELECTION,,SUD,2015,Vanette Pajet,Fanmi L,515,5,,,,
LEGISLATIVE ELECTION,,SUD,2015,9 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,COTEAUX,SUD,2015,BEONARD DORISMOND,Verite,"1,944",45.2,"3,086",56,,
LEGISLATIVE ELECTION,,SUD,2015,Astrel Dolne,PHTK,"1,366",31.8,"2,382",43.5,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Remy Joint,Fusion,728,16.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,2 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,LES CAYES-ILE-A-VACHE,SUD,2015,Max Antoine Simon,PHTK,"3,636",16.5,"13,111",43.5,,
LEGISLATIVE ELECTION,,SUD,2015,CLAUVY ROBAS,OPL,"3,006",13.6,"16,675",55.4,,
LEGISLATIVE ELECTION,,SUD,2015,Yverick Delerme Cyril,Pont,"1,815",8.2,,,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Odinel Viliom,Verite,"1,730",7.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,Jacques Mildor Zamor,PPG18,"1,598",7.3,,,,
LEGISLATIVE ELECTION,,SUD,2015,Soniel Celestin,Platfòm P,"1,572",7.1,,,,
LEGISLATIVE ELECTION,,SUD,2015,Anthony Cyrion,KID,"1,426",6.5,,,,
LEGISLATIVE ELECTION,,SUD,2015,18 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-A-PIMENT,SUD,2015,Julner Laine,Verite,"2,421",46.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,Daniel Letang,KID,"2,321",44.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Glaude Gilomme,PPG18,387,7.5,,,,
LEGISLATIVE ELECTION,,SUD,2015,4 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-SALUT,SUD,2015,Maxime Saintil,PHTK,"1,627",24.9,"4,298",47.3,,
LEGISLATIVE ELECTION,,SUD,2015,BERTRAND SINAL,Fanmi L,"1,579",24.2,"4,753",52.3,,
LEGISLATIVE ELECTION,,SUD,2015,Joseph Nelson Louis,KID,"1,410",21.6,,,,
LEGISLATIVE ELECTION,,SUD,2015,Rene Nazaire,Verite,"1,264",19.4,,,,
LEGISLATIVE ELECTION,,SUD,2015,Joseph Enoc Maurice,Adrena,536,8.2,,,,
LEGISLATIVE ELECTION,,SUD,2015,2 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,ROCHE-A-BATEAU,SUD,2015,PIERRE-LOUIS OSTIN,PHTK,"1,220",27.1,"2,559",56.5,,
LEGISLATIVE ELECTION,,SUD,2015,Paul Olivar Richard,Verite,"1,050",23.3,"1,963",43.3,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Marie Mulard,Fanmi L,995,22.1,,,,
LEGISLATIVE ELECTION,,SUD,2015,Onald Branche D'homme,Inite Patr,469,10.4,,,,
LEGISLATIVE ELECTION,,SUD,2015,Anes Moise,KID,368,8.2,,,,
LEGISLATIVE ELECTION,,SUD,2015,Nixon Termelus,Rapwoche,325,7.2,,,,
LEGISLATIVE ELECTION,,SUD,2015,1 other,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,SAINT JEAN DU SUD-ARNIQUET,SUD,2015,JOSEPH BENOIT LAGUERRE,PHTK,"2,647",30.4,"5,464",53.6,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Roland Boisrond,UNCRH,"1,690",19.4,"4,461",43.8,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Claude Bernard,OPL,"1,601",18.4,,,,
LEGISLATIVE ELECTION,,SUD,2015,Serge Pierre-Louis,KID,899,10.3,,,,
LEGISLATIVE ELECTION,,SUD,2015,Joseph Georges Astremon,Pitit Dess,792,9.1,,,,
LEGISLATIVE ELECTION,,SUD,2015,8 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,SAINT-LOUIS-DU-SUD,SUD,2015,GANDHY DORFEUILLE,PHTK,"3,091",26.8,"7,309",55.9,,
LEGISLATIVE ELECTION,,SUD,2015,Felix-Jean Mervius,Fusion,"1,439",12.5,"5,704",43.6,,
LEGISLATIVE ELECTION,,SUD,2015,Jeannot Sanon,Fanmi L,709,6.1,,,,
LEGISLATIVE ELECTION,,SUD,2015,Christma Dorfeuille,Bouclier,709,6.1,,,,
LEGISLATIVE ELECTION,,SUD,2015,Monet Cherizier,FURH,676,5.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,Gerald Excellent,KID,630,5.5,,,,
LEGISLATIVE ELECTION,,SUD,2015,18 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,TIBURON,SUD,2015,Louinor Saintima,Verite,"1,603",30.1,"2,770",45.7,,
LEGISLATIVE ELECTION,,SUD,2015,JEAN PHILIPPE BELISAIRE,PHTK,"1,479",27.7,"3,286",54.2,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Orcel Leone,KID,"1,006",18.9,,,,
LEGISLATIVE ELECTION,,SUD,2015,6 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,TORBECK-CHANTAL,SUD,2015,HERVE CHARLES,PHTK,"2,855",20.7,"11,095",61.3,,
LEGISLATIVE ELECTION,,SUD,2015,Guy Gerard Georges,Fanmi L,"2,411",17.5,"6,843",37.8,,
LEGISLATIVE ELECTION,,SUD,2015,Pierre Lima Denis,Respe,"1,858",13.5,,,,
LEGISLATIVE ELECTION,,SUD,2015,Jean Mertens Dimanche,KID,"1,202",8.7,,,,
LEGISLATIVE ELECTION,,SUD,2015,Patrice Mathieu,Rapwoche,877,6.4,,,,
LEGISLATIVE ELECTION,,SUD,2015,Nadege Pierre Louis,Verite,837,6.1,,,,
LEGISLATIVE ELECTION,,SUD,2015,16 others,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,,SUD,2015,,,,,,,,
LEGISLATIVE ELECTION,ANSE-A-PITRE,SUD EST,2015,BEL-ANGE PIERRE,Fusion,"2,353",35.2,"4,040",55.7,,
LEGISLATIVE ELECTION,,SUD EST,2015,Onell Marcelin,Verite,"1,767",26.4,"3,169",43.7,,
LEGISLATIVE ELECTION,,SUD EST,2015,Patrick Robasson,PHTK,"1,760",26.3,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,4 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,BAINET,SUD EST,2015,Malherbe Francois,PHTK,"3,994",34.2,"5,052",39.3,,
LEGISLATIVE ELECTION,,SUD EST,2015,SONY CABE,KID,"3,814",32.7,"7,747",60.3,,
LEGISLATIVE ELECTION,,SUD EST,2015,Karl Laplante,Renmen Ayiti,"1,144",9.8,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Nelan Sylvaince,Fusion,808,6.9,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Sagaille Marcelin,OPL,697,6,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,4 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,BELLE-ANSE,SUD EST,2015,VILMA MATHIEU,AAA,"1,489",23.1,"4,595",51.9,,
LEGISLATIVE ELECTION,,SUD EST,2015,Rossini Jean-Pierre,PHTK,"1,327",20.6,"4,194",47.4,,
LEGISLATIVE ELECTION,,SUD EST,2015,Clebert Balthazar,OPL,958,14.8,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Ronel Sistanis,Fusion,500,7.7,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Henry Sauveur Petion,Adrena,473,7.3,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Marius Pascal,Verite,419,6.5,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,5 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,CAYES JACMEL,SUD EST,2015,PIERRE ROOSVELT DUBREUZE,OPL,"2,313",25.7,"6,190",57.9,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Benissoit Mercredy,LAPEH,"1,937",21.5,"4,483",41.9,,
LEGISLATIVE ELECTION,,SUD EST,2015,Kenol Charles,PHTK,"1,381",15.3,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Wilda Pyram,Pitit Dess,"1,090",12.1,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Delouis Felix,Verite,805,8.9,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Pierre Andre Cesar,Renmen Ayiti,730,8.1,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,5 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,COTE-DE-FER,SUD EST,2015,Roudy Devil,OPL,"3,374",30,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Lesly Guirand,PHTK,"3,116",27.7,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Joseph Gontran Louis,Verite,"2,529",22.5,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Georges Baptiste,Concorde,825,7.4,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Rosemond Orleans,Fusion,569,5.1,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,3 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,GRAND-GOSIER,SUD EST,2015,PAUL HERMANN VIL,PHTK,764,29,"2,009",50.7,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Onel Charles,Opl,566,21.5,"1,876",47.4,,
LEGISLATIVE ELECTION,,SUD EST,2015,Eddy Antoine,Verite,432,16.4,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Colbert Charles,Renmen Ayiti,255,9.7,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Yves Arold Lafleur,Pitit Dess,147,5.6,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,6 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,JACMEL,SUD EST,2015,KETEL JEAN-PHILIPPE,OPL,"7,122",29.5,"20,508",65.8,,
LEGISLATIVE ELECTION,,SUD EST,2015,Pierre Jacques Khawly,PHTK,"6,216",25.8,"10,453",33.5,,
LEGISLATIVE ELECTION,,SUD EST,2015,Patrick Domond,KID,"3,185",13.2,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,21 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,SUD EST,2015,NESTOR AMBROISE,Bouclier,"1,014",16.1,"3,585",49.9,,
LEGISLATIVE ELECTION,,SUD EST,2015,Yvrance Joseph,APLA,951,15.1,"3,517",49,,
LEGISLATIVE ELECTION,,SUD EST,2015,Franck Lauture,OPL,938,14.9,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Edzer Valentin,PHTK,937,14.8,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Justa Gabriel,Pont,834,13.2,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Ruffine Labbe,Verite,498,7.9,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Frantz Ceau Aridou,PPG18,374,5.9,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,8 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,MARIGOT,SUD EST,2015,Dieudonne Lherisson,PHTK,"2,904",26.1,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Deus Deronneth,Pont,"2,519",22.6,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Rosenie Gustave,Fanmi L,"1,812",16.3,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Gethene Poustin,OPL,"1,207",10.8,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Yolande Jean Pascal,APLA,981,8.8,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Getho Severe,Verite,805,7.2,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,7 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,THIOTTE,SUD EST,2015,VIKERSON GARNIER,Fanmi L,"1,471",24,"4,950",56.3,,
LEGISLATIVE ELECTION,,SUD EST,2015,Harmel Cazeau,OPL,"1,154",18.8,"3,797",43.2,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Camille Desmarattes,PHTK,"1,022",16.7,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Johny Deeb Batrony,LAPEH,904,14.8,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Ked Neptune,UNCRH,767,12.5,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,Jean Robert Jean,Pitit Dess,519,8.5,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,2 others,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,2010-11 presidential election,
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,National summary,http://psephos.adam-carr.net/countries/h/haiti/haiti2010.txt
LEGISLATIVE ELECTION,,SUD EST,2015,,,,,,,,
NATIONAL SUMMARY,,SUD EST,2011,,,,,,,,
NATIONAL SUMMARY,,SUD EST,2011,Axan Delson Abellard,Knda,"3,110",0.3,,,,
NATIONAL SUMMARY,,SUD EST,2011,Jacques Edouard Alexis,MPH,"32,932",3.1,,,,
NATIONAL SUMMARY,,SUD EST,2011,Jean Hector Anacacis,Modejha,"4,165",0.4,,,,
NATIONAL SUMMARY,,SUD EST,2011,Charles Henri Baker,Respe,"25,512",2.4,,,,
NATIONAL SUMMARY,,SUD EST,2011,Anne Marie Josette Bijou,,"10,782",1,,,,
NATIONAL SUMMARY,,SUD EST,2011,Gerard Marie Necker Blot,Platfom 16 Desanm,"2,621",0.2,,,,
NATIONAL SUMMARY,,SUD EST,2011,Jean Henry Ceant,Renmen Ayiti,"87,834",8.2,,,,
NATIONAL SUMMARY,,SUD EST,2011,Jude Celestin,Inite,"241,462",22.5,,,,
NATIONAL SUMMARY,,SUD EST,2011,Eric Smarki Charles,Penh,"2,597",0.2,,,,
NATIONAL SUMMARY,,SUD EST,2011,Yves Cristalin,Lavni,"17,133",1.6,,,,
NATIONAL SUMMARY,,SUD EST,2011,Wilson Jeudy,Force 2010,"6,076",0.6,,,,
NATIONAL SUMMARY,,SUD EST,2011,Jean Chavannes Jeune,Accrha,"19,348",1.8,,,,
NATIONAL SUMMARY,,SUD EST,2011,Leon Jeune,Kle,"3,738",0.4,,,,
NATIONAL SUMMARY,,SUD EST,2011,Genard Joseph,Solidarite,"9,164",0.9,,,,
NATIONAL SUMMARY,,SUD EST,2011,Garaudy Laguerre,Wozo,"2,802",0.3,,,,
NATIONAL SUMMARY,,SUD EST,2011,Mirlande Manigat,RDNP,"336,878",31.4,"336,747",32,,
NATIONAL SUMMARY,,SUD EST,2011,Michel Joseph Martelly,Repons Peyizan,"234,617",21.8,"716,986",68,,
NATIONAL SUMMARY,,SUD EST,2011,Yvon Néptune,Ayisyen Pou Ayiti,"4,217",0.4,,,,
NATIONAL SUMMARY,,SUD EST,2011,Leslie Voltaire,Ansanm Nou Fo,"16,199",1.5,,,,
NATIONAL SUMMARY,,SUD EST,2011,,,,,,,,
NATIONAL SUMMARY,,SUD EST,2011,,,,,,,2010-11 legislative election,
NATIONAL SUMMARY,,SUD EST,2011,,,,,,,Senate election,http://psephos.adam-carr.net/countries/h/haiti/haiti20102.txt
NATIONAL SUMMARY,,SUD EST,2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,,SUD EST,2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,,ARTIBONITE,2011,Joseph Francois Anick,Altenativ,"39,737",33.3,"70,517",65.2,,
LEGISLATIVE ELECTION OF SENATE,,ARTIBONITE,2011,Chrysostome Michel,Inite,"37,924",31.8,"37,631",34.8,,
LEGISLATIVE ELECTION OF SENATE,,ARTIBONITE,2011,Joseph Medard,Ansanm Nou Fo,"11,342",9.5,,,,
LEGISLATIVE ELECTION OF SENATE,,ARTIBONITE,2011,Benjamin Francklin,AAA,"9,616",8.1,,,,
LEGISLATIVE ELECTION OF SENATE,,ARTIBONITE,2011,Dieujuste Arsene,Mochrenha,"7,987",6.7,,,,
LEGISLATIVE ELECTION OF SENATE,,ARTIBONITE,2011,Albert Charles P Antoine,Respe,"7,010",5.9,,,,
LEGISLATIVE ELECTION OF SENATE,,ARTIBONITE,2011,1 other,,,,,,,
